name	count	yf	y	m	d	ra_deg	ra_h	ra_m	ra_s	de_deg	de_d	de_m	de_s	oc_ra	oc_de	oc_ra_eps	oc_de_eps	oc_ra_sigma	oc_de_sigma
94	u3        	5	2011.8597292065	2011	11	10.80116036	1.05666		0	4	13.5984		-0.3570356	0	21 	25.328		-0.071	0.033	0.01	0.024	0.023	0.053
95	u4        	5	2011.8597292065	2011	11	10.80116036	1.0607942	0	4	14.5906		-0.3753183	0	22 	31.146		-0.043	0.129	0.023	0.034	0.052	0.076
96	u3        	5	2011.8733942117	2011	11	15.78888726	0.962135	0	3	50.9124		-0.412005	0	24 	43.218		-0.014	0.002	0.011	0.015	0.024	0.034
97	u4        	5	2011.8870636708	2011	11	20.77823986	0.8719283	0	3	29.2628		-0.4334472	0	26 	0.41		0.041	-0.085	0.017	0.013	0.039	0.029
98	u4        	5	2011.9116442708	2011	11	29.75015884	0.7707392	0	3	4.9774		-0.4721628	0	28 	19.786		0.009	-0.01	0.019	0.023	0.042	0.052
99	u3        	5	2011.9690483206	2011	12	20.70263703	0.7672217	0	3	4.1332		-0.4712061	0	28 	16.342		0.025	0.008	0.011	0.038	0.025	0.086
100	u4        	5	2011.9690483206	2011	12	20.70263703	0.7650592	0	3	3.6142		-0.4737856	0	28 	25.628		0.029	-0.015	0.007	0.033	0.015	0.074
101	u3        	5	2011.990878269	2011	12	28.67056818	0.8552117	0	3	25.2508		-0.4287861	0	25 	43.63		-0.075	0.194	0.003	0.014	0.007	0.032
102	u4        	5	2011.990878269	2011	12	28.67056818	0.8501575	0	3	24.0378		-0.4103367	0	24 	37.212		-0.074	-0.078	0.019	0.017	0.042	0.039
103	u3        	4	2014.6631094841	2014	8	31.0349617	14.722201	0	58	53.32825	5.5274819	5	31 	38.935		0.018	-0.066	0.028	0.016	0.056	0.032
104	u4        	4	2014.6631094841	2014	8	31.0349617	14.7207469	0	58	52.97925	5.5190319	5	31 	8.515		0.042	-0.009	0.02	0.017	0.04	0.035
105	u4        	5	2014.6767692994	2014	9	5.02079429	14.5790767	0	58	18.9784		5.4795039	5	28 	46.214		-0.05	-0.148	0.01	0.02	0.023	0.045
