avg moment 	pos count 	sat list 	planet avg RA 	planet avg DE 	avg O-C, arcsec 	avg O-C sigma, arcsec 	avg O-C eps, arcsec
ymdd 	deg 	HMS 	deg 	DMS 	RA 	DE 	RA 	DE 	RA 	DE
2015.7150522116	2015	09	18.99405723	1	4	17.961462605	1 11 50.751	6.890541101389	6 53 25.948	-0.012	-0.109	0	0	0	0
2015.7177910606	2015	09	19.99373712	2	34	17.927623143472	1 11 42.63	6.876678378056	6 52 36.042	-0.039	-0.043	0.1	0.01	0.07	0.007
2015.7314746181	2015	09	24.98823562	2	34	17.753845529722	1 11 0.923	6.805507795833	6 48 19.828	-0.013	-0	0.005	0.003	0.004	0.002
2015.7369324767	2015	09	26.98035401	1	3	17.682606759444	1 10 43.826	6.776370130833	6 46 34.932	0.05	-0.008	0	0	0	0
2015.756033902	2015	10	3.95237422	3	234	17.426578028333	1 9 42.379	6.671940957315	6 40 18.987	0.17	0.092	0.049	0.031	0.028	0.018
2015.7696841631	2015	10	8.93471954	2	34	17.239214737361	1 8 57.412	6.595721164167	6 35 44.596	0.078	-0.029	0.019	0.008	0.013	0.006
2015.7833472051	2015	10	13.92172987	3	234	17.0503108275	1 8 12.075	6.519097061944	6 31 8.749	0.065	-0.007	0.08	0.069	0.046	0.04
2015.8024830336	2015	10	20.90630728	3	234	16.787435663796	1 7 8.985	6.412768901759	6 24 45.968	0.121	0.004	0.049	0.036	0.029	0.021
2015.8243237213	2015	10	28.87815828	3	234	16.496289803889	1 5 59.11	6.295496298981	6 17 43.787	0.031	0.022	0.037	0.02	0.021	0.012
2015.8297951627	2015	10	30.87523438	4	1234	16.425716054306	1 5 42.172	6.267148891042	6 16 1.736	0.086	0.005	0.14	0.08	0.07	0.04
2015.8461839904	2015	11	5.85715648	4	1234	16.221716916181	1 4 53.212	6.185525637917	6 11 7.892	-0.073	0.066	0.075	0.172	0.037	0.086
2015.9363461492	2015	12	8.76634444	3	134	15.419780609908	1 1 40.747	5.872342415278	5 52 20.433	-0.005	-0.082	0.03	0.037	0.017	0.022
2015.9800584752	2015	12	24.72134345	2	34	15.297750833889	1 1 11.46	5.832502366944	5 49 57.009	-0.006	0.024	0.02	0.03	0.014	0.021
2015.9857246585	2015	 12 26	.78950036	2	34	15.296612635	1 1 11.187	5.833441824028	5 50 0.391	0.036	-0.009	0.053	0.025	0.038	0.018
2012.6612561937	2012	08	30.0197669	4	1234	7.191751511667	0 28 46.02	2.292286390903	2 17 32.231	-0.168	-0.063	0.134	0.074	0.067	0.037
2012.6639762767	2012	08	31.01531729	4	1234	7.161575855208	0 28 38.778	2.279104576389	2 16 44.776	-0.034	0.196	0.063	0.326	0.031	0.163
2012.6666984723	2012	09	1.01164088	2	34	7.130930711528	0 28 31.423	2.265600238889	2 15 56.161	-0.002	-0.055	0.046	0.004	0.032	0.003
2012.6912224179	2012	09	9.98740494	2	34	6.837864368611	0 27 21.087	2.137726716944	2 8 15.816	0.06	-0.094	0.025	0.018	0.018	0.012
2012.7239190088	2012	09	21.95435722	2	34	6.411952522083	0 25 38.869	1.953589459028	1 57 12.922	0.11	0.197	0.014	0.271	0.01	0.191
2012.7647825812	2012	10	6.91042471	2	34	5.859705365972	0 23 26.329	1.716989085417	1 43 1.161	0.059	-0.072	0.036	0.022	0.025	0.016
2012.767513078	2012	10	7.90978656	2	34	5.823129034167	0 23 17.551	1.701443576667	1 42 5.197	0.015	0.009	0	0.024	0	0.017
2012.8083703817	2012	10	22.86355972	3	134	5.300193395556	0 21 12.046	1.480332237315	1 28 49.196	-0.026	0.106	0.019	0.196	0.011	0.113
2012.8247509555	2012	10	28.8588497	2	34	5.110436918472	0 20 26.505	1.400890160972	1 24 3.205	0.12	0.042	0.02	0.008	0.014	0.005
2012.868315342	2012	11	13.80341519	2	34	4.689434812917	0 18 45.464	1.227456016667	1 13 38.842	-0.011	-0.019	0.02	0.047	0.014	0.033
2012.9555020078	2012	12	15.71373485	1	3	4.350103843889	0 17 24.025	1.1026181225	1 6 9.425	-0.117	-0.047	0	0	0	0
2012.9609663555	2012	12	17.7136861	1	4	4.354744686667	0 17 25.139	1.106094915556	1 6 21.942	0.027	0.024	0	0	0	0
2012.963686385	2012	12	18.7092169	2	34	4.358207580139	0 17 25.97	1.108323014028	1 6 29.963	-0.033	0.003	0.031	0.031	0.022	0.022
2012.9664084174	2012	12	19.70548076	2	34	4.362495117083	0 17 26.999	1.110902094028	1 6 39.248	0.025	0.013	0.005	0.002	0.003	0.001
2012.9718609444	2012	12	21.70110565	1	4	4.373403798611	0 17 29.617	1.117132437778	1 7 1.677	-0.036	0.186	0	0	0	0
2013.665829616	2013	09	1.02780984	3	234	10.904674941944	0 43 37.122	3.901203444537	3 54 4.332	0.026	-0.064	0.019	0.13	0.011	0.075
