sat  year  month  day  UT_h  UT_m  UT_s  RA_h  RA_m  RA_s  RA_SEM  DEC_deg  DEC_arcm  DEC_arcs  DEC_SEM  epoch  ref_catalog  Obs_code
u2  2015  11  5  20  34  0.3053  1  4  53.228  0.03  6  11   25.144  0.059  J2000  UCAC4  84
u3  2015  11  5  20  34  0.3053  1  4  52.323  0.061  6  10   58.464  0.059  J2000  UCAC4  84
u4  2015  11  5  20  34  0.3053  1  4  54.458  0.009  6  10   34.578  0.018  J2000  UCAC4  84
u1  2015  12  8  18  23  0.536  1  1  41.081  0.154  5  52   8.4025  0.094  J2000  UCAC4  84
u3  2015  12  8  18  23  0.536  1  1  39.928  0.005  5  52   47.0175  0.021  J2000  UCAC4  84
u4  2015  12  8  18  23  0.536  1  1  39.892  0.056  5  52   59.355  0.086  J2000  UCAC4  84
u3  2015  12  26  18  56  0.8805  1  1  10.161  0.027  5  50   18.058  0.032  J2000  UCAC4  84
u4  2015  12  26  18  56  0.8805  1  1  10.665  0.018  5  49   31.024  0.061  J2000  UCAC4  84
u3  2015  12  24  17  18  0.7346  1  1  11.662  0.016  5  50   22.3575  0.039  J2000  UCAC4  84
u4  2015  12  24  17  18  0.7346  1  1  10.076  0.032  5  50   2.4475  0.039  J2000  UCAC4  84
u4  2016  1  1  16  47  0.8761  1  1  15.927  0.044  5  50   55.448  0.052  J2000  UCAC4  84
u1  2016  1  6  16  31  0.6109  1  1  23.118  0.059  5  51   55.464  0.094  J2000  UCAC4  84
u2  2016  1  6  16  31  0.6109  1  1  23.712  0.061  5  51   54.278  0.221  J2000  UCAC4  84
u3  2016  1  6  16  31  0.6109  1  1  23.115  0.01  5  51   19.152  0.016  J2000  UCAC4  84
u4  2016  1  6  16  31  0.6109  1  1  21.984  0.006  5  51   57.152  0.027  J2000  UCAC4  84
u3  2016  1  7  16  23  0.7786  1  1  26.11  0.011  5  51   30.136  0.027  J2000  UCAC4  84
u4  2016  1  7  16  23  0.7786  1  1  24.384  0.083  5  51   55.518  0.027  J2000  UCAC4  84
u3  2016  1  8  16  21  0.2407  1  1  29.075  0.019  5  51   57.028  0.009  J2000  UCAC4  84
u4  2016  1  8  16  21  0.2407  1  1  27.256  0.008  5  51   56.044  0.019  J2000  UCAC4  84
u3  2016  1  10  16  8  0.9888  1  1  34.102  0.034  5  53   14.522  0.016  J2000  UCAC4  84
u4  2016  1  10  16  8  0.9888  1  1  33.97  0.026  5  52   16.706  0.026  J2000  UCAC4  84
u1  2012  10  22  20  43  0.526  0  21  12.249  0.025  1  28   36.146  0.027  J2000  UCAC4  84
u1  2013  9  4  0  23  0.6964  0  43  15.619  0.057  3  51   56.888  0.081  J2000  UCAC4  84
u1  2013  9  8  0  8  0.8891  0  42  45.736  0.02  3  48   16.998  0.023  J2000  UCAC4  84
u2  2012  8  30  0  28  0.4643  0  28  45.784  0.068  2  17   22.666  0.128  J2000  UCAC4  84
